CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
10182,0,Mr.,Scott,K.,Perry,,"Ford, Ortiz and Mccullough",adventure-works\samantha3,duplicate_scott38@gmail.com,924-291-2698,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,ZOZJHmjm=,D3C9255D-21F0-44EF-B394-C85568BBFC63,2025-12-01 00:00:00.000
10252,0,Mr.,Hollie,,Smith,,,adventure-works\tyler1,duplicate_hollie70@gmail.com,0114 4960067,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,YtFYcsvr=,2009FD33-43CD-4709-AA9A-0C2404B20BC8,2025-12-01 00:00:00.000
10270,0,,Travis,,Roach,,,adventure-works\jessica9,duplicate_travis51@outlook.com,223.386.0085,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,rlzXZDFJ=,67D10575-6DAB-419A-A956-EF52245A5D69,2025-12-01 00:00:00.000
10141,0,Ms.,Süleyman,,Mende,,Etzler,adventure-works\kyle4,duplicate_süleyman92@gmail.com,(03973) 62632,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,PDVJXTzi=,DD9660B8-C4D8-4F7A-B7AD-65E25FF59398,2025-12-01 00:00:00.000
10044,0,Ms.,Sylvana,,Mangold,,,adventure-works\jared5,duplicate_sylvana86@outlook.com,09181 70697,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,uIzeBdeu=,0E7B646C-432B-41A1-98AA-D60D687606D8,2025-12-01 00:00:00.000
10212,0,,Mary,,Henderson,,,adventure-works\melissa6,duplicate_mary61@gmail.com,+1-561-722-6017,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,LWqYUGKN=,FDEA6924-089E-4721-B39C-C933E22A3141,2025-12-01 00:00:00.000
10277,0,,Piotr,,Winkler,,,adventure-works\sheila5,duplicate_piotr50@gmail.com,0619454082,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,fjRgqdNZ=,96F40990-1F97-45D5-998F-EB28A6716FC4,2025-12-01 00:00:00.000
10106,0,,Marianna,,Żyrek,,,adventure-works\robert7,duplicate_marianna32@outlook.com,509 343 528,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,jkkQESOD=,84F80217-C021-4D19-91C8-84ECF4A52E5B,2025-12-01 00:00:00.000
10205,0,Ms.,Knut,,Jähn,,,adventure-works\alex7,duplicate_knut89@outlook.com,0425807095,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,PYxZyEjm=,A5438D63-F6C8-4DE7-9040-0B383DB6BF54,2025-12-01 00:00:00.000
10258,0,Mr.,Elliot,,Chapman,,,adventure-works\mark5,duplicate_elliot54@outlook.com,+44306 999 0255,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,pksoWKsT=,398762C5-5B47-479B-9E4F-C7F06193073C,2025-12-01 00:00:00.000
