CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
10101,0,Mr.,Ada,M.,Śnieg,,,adventure-works\james6,ada67@gmail.com,698 035 465,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,mzCDnsUi=,78B02455-38A8-4CE7-9138-A2B354B751C4,2025-11-30 00:00:00.000
10102,0,Ms.,Darius,,Miller,,,adventure-works\alan6,darius58@outlook.com,7174093397,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,XAxfcpBD=,BACFDAA6-1151-4ED3-ACCA-B03D82B0C308,2025-11-30 00:00:00.000
10103,0,Mr.,Tadeusz,M.,Milcarz,,,adventure-works\matthew7,tadeusz14@gmail.com,+48 884 437 179,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,YvIuMYqb=,8C2DAF62-0603-4432-A49F-A5FAB1990981,2025-11-30 00:00:00.000
10104,0,Mr.,Brittany,,Washington,,Williams and Sons,adventure-works\alyssa7,brittany17@outlook.com,+1-710-743-4676,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,HawhnmrB=,D24FD0F8-2A41-41F9-A653-2EFE03ED5D8B,2025-11-30 00:00:00.000
10105,0,,Amanda,,Ellis,,,adventure-works\steven6,amanda40@gmail.com,236.708.8671x19,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,rSsHYuDI=,7A437FDF-B4C8-4CDA-909F-373D24FEF97B,2025-11-30 00:00:00.000
10106,0,,Marianna,,Żyrek,,,adventure-works\robert7,marianna32@outlook.com,509 343 528,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,jkkQESOD=,84F80217-C021-4D19-91C8-84ECF4A52E5B,2025-11-30 00:00:00.000
10107,0,Ms.,Denis,,Brown,,,adventure-works\mary7,denis7@gmail.com,+44306 999 0504,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,ISHpzgbl=,5E9D1BED-1186-4C0E-8D62-6E9FEC316A89,2025-11-30 00:00:00.000
10108,0,Mr.,Malwina,I.,Góraj,,Skiepko S.A.,adventure-works\sherry7,malwina74@gmail.com,+48 530 758 170,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,ehDLxZbE=,FE612861-1D67-4925-9021-44BEC7C88339,2025-11-30 00:00:00.000
10109,0,Mr.,Zlatko,H.,Schottin,,Klemt,adventure-works\jose3,zlatko60@outlook.com,(02423) 11965,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,qOcZzCdE=,76306274-A2A0-43FB-934E-64FE57E1FC90,2025-11-30 00:00:00.000
10110,0,Ms.,Bernard,,Morris,,,adventure-works\stephanie8,bernard75@gmail.com,+44118 496 0635,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,XqWlAomx=,12CFD9A0-0A23-4A26-8FA9-DAA137D36F03,2025-11-30 00:00:00.000
