CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt,rowguid,ModifiedDate
8176,0,,Victor,,Scott,,Simon-Morris,adventure-works\cory3,victor.scott693@gmail.com,(370)767-3921,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,OVxUxpxj=,70E15EB9-F135-4D0E-BCA8-7CBEC51178C8,2025-11-30 00:00:00.000
5461,0,,Christopher,,Dean,,Martinez-Allen,adventure-works\valerie5,christopher.dean747@gmail.com,001-433-686-078,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,PBStCrMV=,B31C040F-925D-4413-8B20-E4230C09E556,2025-11-30 00:00:00.000
6296,0,Mrs.,Karina,B.,Miętus,,,adventure-works\sara1,karina.miętus502@gmail.com,886.876.0953,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,cxklQkTs=,09709DA3-9E33-449B-9680-CD7D0E79DA68,2025-11-30 00:00:00.000
4881,0,Ms.,Laura,,Barth,,Lewis LLC,adventure-works\patricia9,laura.barth486@gmail.com,001-289-203-910,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,LSwMASmx=,F2695843-B06E-4A58-A8F4-96319CCE08EC,2025-11-30 00:00:00.000
8400,0,Mr.,Anthony,D.,Rodriguez,,Martin-Murphy,adventure-works\terri4,anthony.rodriguez477@gmail.com,848-508-0081,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,EexJwDsS=,E2B7E12C-CA50-430D-B40C-4FAAEFBA22A1,2025-11-30 00:00:00.000
7910,0,Mr.,Gerald,,Lee,,,adventure-works\paige5,gerald.lee797@gmail.com,579-276-9623x25,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,fyPMDJKL=,FCF987B7-1074-4E0F-B8BF-1046B1F66BD1,2025-11-30 00:00:00.000
22,0,Ms.,Catherine,,Rivera,,,adventure-works\alexander9,catherine.rivera719@gmail.com,272.529.4828x82,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,fGdqptzi=,EFED2F8B-7FE4-44CA-8C3C-0A28E0492962,2025-11-30 00:00:00.000
6695,0,,Cheryl,,Abbott,,"Brown, Nicholson and Nguyen",adventure-works\brian2,cheryl.abbott729@gmail.com,001-326-200-877,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,XfhJdglU=,DFFB8B63-73AB-4766-9750-55A8C583294E,2025-11-30 00:00:00.000
3172,0,Mr.,John,,Jordan,,Mendez LLC,adventure-works\erin5,john.jordan177@gmail.com,539.688.4172x67,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,jnTOCoYV=,E59EA412-51AA-4635-886E-F6934FD8CB0D,2025-11-30 00:00:00.000
2440,0,Mr.,Joshua,M.,Miller,,,adventure-works\charles1,joshua.miller709@gmail.com,9087463803,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,sibynqFP=,8CD200AD-C492-49FD-AFAF-B059606E1E21,2025-11-30 00:00:00.000
